n_neighbors,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
6,0,1,0,0,1,1,1,0,1
6,1,0,0,1,1,0,1,1,1
6,1,1,1,1,1,0,0,0,1
6,0,0,0,1,1,0,1,1,1
6,1,1,1,0,0,1,1,1,1
6,1,1,0,0,0,1,1,1,1
6,1,1,0,1,1,1,0,0,1
6,1,1,1,0,1,1,0,0,1
6,0,1,1,0,0,1,1,1,1
6,1,1,0,0,1,0,1,0,1
6,0,1,1,0,0,1,0,1,1
6,1,1,0,0,1,0,1,1,0
15,1,1,1,1,1,0,1,0,0
15,0,0,1,1,1,1,1,0,1
15,0,1,1,1,0,1,0,0,1
15,1,0,0,0,0,0,1,1,1
15,1,1,1,1,1,1,1,1,1
15,1,0,0,1,0,1,0,1,1
15,1,0,1,1,1,1,0,1,0
15,1,1,1,0,0,0,0,1,1
15,1,0,1,1,1,0,1,0,0
15,0,1,0,0,1,1,1,0,1
15,1,0,0,1,1,0,1,1,1
15,1,1,1,1,1,0,0,0,1
15,0,0,0,1,1,0,1,1,1
15,1,1,1,0,0,1,1,1,1
15,1,1,0,0,0,1,1,1,1
15,1,1,0,1,1,1,0,0,1
15,1,1,1,0,1,1,0,0,1
15,0,1,1,0,0,1,1,1,1
15,1,1,0,0,1,0,1,0,1
15,0,1,1,0,0,1,0,1,1
15,1,1,0,0,1,0,1,1,0
11,1,1,1,1,1,0,1,0,0
11,0,0,1,1,1,1,1,0,1
11,0,1,1,1,0,1,0,0,1
11,1,0,0,0,0,0,1,1,1
11,1,1,1,1,1,1,1,1,1
11,1,0,0,1,0,1,0,1,1
11,1,0,1,1,1,1,0,1,0
11,1,1,1,0,0,0,0,1,1
11,1,0,1,1,1,0,1,0,0
11,0,1,0,0,1,1,1,0,1
11,1,0,0,1,1,0,1,1,1
11,1,1,1,1,1,0,0,0,1
11,0,0,0,1,1,0,1,1,1
11,1,1,1,0,0,1,1,1,1
11,1,1,0,0,0,1,1,1,1
11,1,1,0,1,1,1,0,0,1
11,1,1,1,0,1,1,0,0,1
11,0,1,1,0,0,1,1,1,1
11,1,1,0,0,1,0,1,0,1
11,0,1,1,0,0,1,0,1,1
11,1,1,0,0,1,0,1,1,0
4,1,1,1,1,1,0,1,0,0
4,0,0,1,1,1,1,1,0,1
4,0,1,1,1,0,1,0,0,1
4,1,0,0,0,0,0,1,1,1
4,1,1,1,1,1,1,1,1,1
4,1,0,0,1,0,1,0,1,1
4,1,0,1,1,1,1,0,1,0
4,1,1,1,0,0,0,0,1,1
4,1,0,1,1,1,0,1,0,0
4,0,1,0,0,1,1,1,0,1
4,1,0,0,1,1,0,1,1,1
4,1,1,1,1,1,0,0,0,1
4,0,0,0,1,1,0,1,1,1
4,1,1,1,0,0,1,1,1,1
4,1,1,0,0,0,1,1,1,1
4,1,1,0,1,1,1,0,0,1
4,1,1,1,0,1,1,0,0,1
4,0,1,1,0,0,1,1,1,1
4,1,1,0,0,1,0,1,0,1
4,0,1,1,0,0,1,0,1,1
4,1,1,0,0,1,0,1,1,0
29,1,1,1,1,1,0,1,0,0
29,0,0,1,1,1,1,1,0,1
29,0,1,1,1,0,1,0,0,1
29,1,0,0,0,0,0,1,1,1
29,1,1,1,1,1,1,1,1,1
29,1,0,0,1,0,1,0,1,1
29,1,0,1,1,1,1,0,1,0
29,1,1,1,0,0,0,0,1,1
29,1,0,1,1,1,0,1,0,0
29,0,1,0,0,1,1,1,0,1
29,1,0,0,1,1,0,1,1,1
29,1,1,1,1,1,0,0,0,1
29,0,0,0,1,1,0,1,1,1
29,1,1,1,0,0,1,1,1,1
29,1,1,0,0,0,1,1,1,1
29,1,1,0,1,1,1,0,0,1
29,1,1,1,0,1,1,0,0,1
29,0,1,1,0,0,1,1,1,1
29,1,1,0,0,1,0,1,0,1
29,0,1,1,0,0,1,0,1,1
29,1,1,0,0,1,0,1,1,0
10,1,1,1,1,1,0,1,0,0
10,0,0,1,1,1,1,1,0,1
10,0,1,1,1,0,1,0,0,1
10,1,0,0,0,0,0,1,1,1
10,1,1,1,1,1,1,1,1,1
10,1,0,0,1,0,1,0,1,1
10,1,0,1,1,1,1,0,1,0
10,1,1,1,0,0,0,0,1,1
10,1,0,1,1,1,0,1,0,0
10,0,1,0,0,1,1,1,0,1
10,1,0,0,1,1,0,1,1,1
10,1,1,1,1,1,0,0,0,1
10,0,0,0,1,1,0,1,1,1
10,1,1,1,0,0,1,1,1,1
10,1,1,0,0,0,1,1,1,1
10,1,1,0,1,1,1,0,0,1
10,1,1,1,0,1,1,0,0,1
10,0,1,1,0,0,1,1,1,1
10,1,1,0,0,1,0,1,0,1
10,0,1,1,0,0,1,0,1,1
10,1,1,0,0,1,0,1,1,0
26,1,1,1,1,1,0,1,0,0
26,0,0,1,1,1,1,1,0,1
26,0,1,1,1,0,1,0,0,1
26,1,0,0,0,0,0,1,1,1
26,1,1,1,1,1,1,1,1,1
26,1,0,0,1,0,1,0,1,1
26,1,0,1,1,1,1,0,1,0
26,1,1,1,0,0,0,0,1,1
26,1,0,1,1,1,0,1,0,0
26,0,1,0,0,1,1,1,0,1
26,1,0,0,1,1,0,1,1,1
26,1,1,1,1,1,0,0,0,1
