task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.44844, (0.33246, 0.57989)","0.45909, (0.36551, 0.55455)","0.44393, (0.30847, 0.57551)","0.43182, (0.30117, 0.57058)","0.45673, (0.27958, 0.63236)","1.08182, (0.85116, 1.23500)","1.81326, (1.43369, 2.19855)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.57518, (0.44882, 0.69187)","0.54091, (0.42228, 0.64545)","0.36076, (0.21594, 0.51397)","0.25909, (0.14285, 0.39948)","0.59375, (0.33333, 0.80753)","0.91818, (0.67824, 1.05658)","1.48627, (1.19624, 1.84967)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.51280, (0.40449, 0.63134)","0.50682, (0.42727, 0.60885)","0.48941, (0.35889, 0.61513)","0.47273, (0.33889, 0.60809)","0.50732, (0.33537, 0.68834)","0.98636, (0.71213, 1.10952)","2.65852, (1.98905, 3.20752)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.56180, (0.43664, 0.69113)","0.56364, (0.47045, 0.67727)","0.54286, (0.39895, 0.68369)","0.51818, (0.37050, 0.67500)","0.57000, (0.38096, 0.75465)","0.87273, (0.59005, 1.05606)","1.92621, (1.39473, 2.47243)"
fugu,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.59661, (0.44374, 0.73200)","0.60455, (0.49091, 0.70682)","0.59908, (0.45294, 0.72901)","0.59091, (0.42448, 0.74348)","0.60748, (0.41182, 0.78194)","0.79091, (0.49768, 0.99500)","1.54096, (1.07720, 2.05300)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.54036, (0.42587, 0.66225)","0.53864, (0.43636, 0.65227)","0.44986, (0.30057, 0.60010)","0.37727, (0.23941, 0.54089)","0.55705, (0.35195, 0.73742)","0.92273, (0.69018, 1.07002)","1.25050, (1.07712, 1.49159)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.51934, (0.40847, 0.62493)","0.53864, (0.44545, 0.62210)","0.52459, (0.40308, 0.63930)","0.50909, (0.36957, 0.62868)","0.54106, (0.36379, 0.70284)","0.92273, (0.71837, 1.08947)","2.63908, (2.07409, 3.27058)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.59079, (0.44885, 0.72811)","0.57727, (0.47045, 0.67727)","0.57143, (0.42458, 0.71047)","0.56364, (0.38864, 0.72560)","0.57944, (0.39829, 0.75077)","0.84545, (0.62014, 1.02644)","1.70107, (1.24095, 2.30241)"
lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.68542, (0.53254, 0.80622)","0.65000, (0.52592, 0.75682)","0.64186, (0.49648, 0.76918)","0.62727, (0.45636, 0.79113)","0.65714, (0.46320, 0.80799)","0.70000, (0.41899, 0.91975)","1.24149, (0.85849, 1.71581)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,,bca,"0.53633, (0.43467, 0.64648)","0.54091, (0.45000, 0.63817)","0.51675, (0.38365, 0.65100)","0.49091, (0.36059, 0.63750)","0.54545, (0.35965, 0.71635)","0.91818, (0.65230, 1.07443)","1.24261, (1.06338, 1.43943)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lda,,bca,"0.56312, (0.44713, 0.67765)","0.55682, (0.46136, 0.64545)","0.55982, (0.42674, 0.67871)","0.56364, (0.42500, 0.69444)","0.55605, (0.37905, 0.71425)","0.88636, (0.63190, 1.05556)","2.52699, (1.84347, 3.11366)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,,bca,"0.54424, (0.42611, 0.66734)","0.53636, (0.44545, 0.63182)","0.52336, (0.40214, 0.64954)","0.50909, (0.39022, 0.63641)","0.53846, (0.36224, 0.70560)","0.92727, (0.65168, 1.06570)","2.12430, (1.61771, 2.67421)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,,bca,"0.40408, (0.29947, 0.52688)","0.41591, (0.33636, 0.51136)","0.40093, (0.28253, 0.53693)","0.39091, (0.26405, 0.51461)","0.41148, (0.25214, 0.60267)","1.16818, (0.91488, 1.30537)","1.86291, (1.51397, 2.27314)"
