random_seed,fold,threshold,roc_auc,C,gamma,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
19683,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],,82.87376804144202,3567.5333312605608,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,1,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,2,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,3,[None],,0.0001,8153.967254772936,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,4,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,5,[None],,0.5523111601485275,8154.614303002199,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,6,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,7,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,8,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,9,[None],,37.45407443072437,9507.14306902773,1,1,1,1,1,1,1,1,1,1,1,1,1
