task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
nps,executive__mmse,target,lr,,percentile,"0.91238, (0.85484, 0.95664)","0.85152, (0.78030, 0.91364)","0.84591, (0.75043, 0.91291)","0.81515, (0.69350, 0.91769)","0.87908, (0.77372, 0.95502)","0.29697, (0.18750, 0.51252)","0.59181, (0.48191, 0.73946)"
nps,executive__mmse,target,svc,,percentile,"0.56456, (0.54073, 0.58457)","0.53182, (0.42420, 0.64095)","0.12958, (0.08939, 0.17009)","0.06970, (0.04706, 0.09355)","0.92000, (0.78947, 1.00000)","0.93636, (0.91613, 1.47720)","0.94510, (0.92963, 0.99988)"
nps,executive__mmse,target,xgb,,percentile,"0.93151, (0.88258, 0.97216)","0.85606, (0.78788, 0.92273)","0.85584, (0.76469, 0.92584)","0.85455, (0.74375, 0.94360)","0.85714, (0.74564, 0.94461)","0.28788, (0.17094, 0.48394)","0.53757, (0.31522, 0.76973)"
P,properties,target,knnc,,percentile,"0.66430, (0.56715, 0.77407)","0.57879, (0.48333, 0.68333)","0.40343, (0.27431, 0.52756)","0.28485, (0.18484, 0.39357)","0.69118, (0.47815, 0.88187)","0.84242, (0.71816, 1.27330)","0.96639, (0.90552, 1.06243)"
P,properties,target,lr,,percentile,"0.66586, (0.56383, 0.77730)","0.63939, (0.54545, 0.73489)","0.62342, (0.48457, 0.72938)","0.59697, (0.45000, 0.73044)","0.65232, (0.47846, 0.79510)","0.72121, (0.56536, 1.08080)","0.99959, (0.97580, 1.06341)"
P,properties,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
P,properties,target,xgb,,percentile,"0.66777, (0.57556, 0.75928)","0.63182, (0.55905, 0.71212)","0.63459, (0.52474, 0.72158)","0.63939, (0.53331, 0.74416)","0.62985, (0.48231, 0.75458)","0.73636, (0.62117, 1.09350)","1.27549, (1.02678, 1.57237)"
P,properties__timing,target,knnc,,percentile,"0.64489, (0.54800, 0.74662)","0.56667, (0.46814, 0.66519)","0.34101, (0.21135, 0.46746)","0.22424, (0.13199, 0.33429)","0.71154, (0.48673, 0.90102)","0.86667, (0.75452, 1.35358)","0.98212, (0.92792, 1.07757)"
P,properties__timing,target,lr,,percentile,"0.65953, (0.57533, 0.74601)","0.65455, (0.57121, 0.73636)","0.65138, (0.52744, 0.74407)","0.64545, (0.52701, 0.76574)","0.65741, (0.50889, 0.78751)","0.69091, (0.55157, 1.03765)","1.17090, (1.02730, 1.34076)"
P,properties__timing,target,svc,,percentile,"0.50000, (0.50000, 0.50000)","0.50000, (0.39356, 0.62121)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","0.00000, (0.00000, 0.00000)","1.00000, (1.00000, 1.54100)","1.00019, (1.00014, 1.05089)"
P,properties__timing,target,xgb,,percentile,"0.65790, (0.55860, 0.76381)","0.62576, (0.54693, 0.70909)","0.63407, (0.52565, 0.72617)","0.64848, (0.53522, 0.74861)","0.62029, (0.47323, 0.75002)","0.74848, (0.62665, 1.10670)","1.34997, (1.01579, 1.70438)"
P,timing,target,knnc,,percentile,"0.51649, (0.44276, 0.58863)","0.51970, (0.44242, 0.59394)","0.39619, (0.28925, 0.48847)","0.31515, (0.22285, 0.41000)","0.53333, (0.36928, 0.67683)","0.96061, (0.89026, 1.38897)","1.22152, (1.12841, 1.35183)"
P,timing,target,lr,,percentile,"0.64848, (0.55080, 0.75374)","0.59091, (0.51663, 0.68182)","0.58075, (0.46519, 0.69124)","0.56667, (0.44411, 0.70000)","0.59554, (0.45323, 0.73379)","0.81818, (0.68689, 1.19250)","1.03069, (0.85778, 1.23414)"
P,timing,target,svc,,percentile,"0.54157, (0.50409, 0.57893)","0.51818, (0.43330, 0.60610)","0.25352, (0.20689, 0.29845)","0.16364, (0.13512, 0.19706)","0.56250, (0.41992, 0.70215)","0.96364, (0.94242, 1.44625)","1.00733, (0.98246, 1.07443)"
P,timing,target,xgb,,percentile,"0.55432, (0.46832, 0.64716)","0.54394, (0.47420, 0.61818)","0.53763, (0.43116, 0.62568)","0.53030, (0.43548, 0.62424)","0.54517, (0.39811, 0.68237)","0.91212, (0.80904, 1.29583)","1.57693, (1.31071, 1.88580)"
