tasks,dimensions,y_label,bootstrap method,roc_auc,p_value_roc_auc,accuracy,p_value_accuracy,f1,p_value_f1,recall,p_value_recall,precision,p_value_precision,norm_expected_cost,p_value_norm_expected_cost,norm_cross_entropy,p_value_norm_cross_entropy
"[Animales, P]","[properties__timing, properties__timing]",target,bca,"0.156, (0.052, 0.253)",0.004,"0.091, (-0.003, 0.190)",0.039,"0.084, (-0.027, 0.188)",0.069,"0.064, (-0.089, 0.188)",0.212,"0.107, (0.007, 0.220)",0.023,"-0.182, (-0.377, 0.058)",0.039,"-0.256, (-0.526, 0.150)",0.069
"[Animales, P]","[properties__timing, timing]",target,bca,"0.167, (0.043, 0.297)",0.006,"0.155, (0.049, 0.256)",0.004,"0.155, (0.033, 0.265)",0.008,"0.142, (-0.018, 0.285)",0.042,"0.169, (0.052, 0.290)",0.003,"-0.309, (-0.504, -0.022)",0.004,"-0.115, (-0.401, 0.281)",0.232
"[Animales, Animales__P]","[timing, properties]",target,bca,"-0.151, (-0.257, -0.046)",0.001,"-0.136, (-0.232, -0.019)",0.006,"-0.206, (-0.332, -0.075)",0.001,"-0.294, (-0.433, -0.117)",0.001,"-0.074, (-0.198, 0.033)",0.108,"0.273, (0.014, 0.472)",0.006,"0.300, (-0.050, 0.537)",0.029
"[Animales, Animales__P]","[timing, properties__timing]",target,bca,"-0.094, (-0.170, -0.001)",0.018,"-0.083, (-0.164, 0.008)",0.034,"-0.151, (-0.260, -0.029)",0.005,"-0.236, (-0.359, -0.092)",0.002,"-0.023, (-0.108, 0.058)",0.276,"0.167, (-0.053, 0.337)",0.034,"0.130, (-0.208, 0.356)",0.165
"[Animales, Animales__P]","[timing, timing]",target,bca,"0.014, (-0.060, 0.093)",0.391,"0.000, (-0.070, 0.081)",0.472,"-0.069, (-0.158, 0.030)",0.061,"-0.158, (-0.256, -0.046)",0.001,"0.063, (-0.023, 0.150)",0.084,"0.000, (-0.204, 0.159)",0.529,"-0.037, (-0.277, 0.156)",0.38
"[Animales, brain]","[timing, norm_brain_lit]",target,bca,"-0.206, (-0.326, -0.079)",0.001,"-0.194, (-0.310, -0.070)",0.001,"-0.265, (-0.400, -0.126)",0.001,"-0.358, (-0.512, -0.186)",0.001,"-0.128, (-0.297, 0.015)",0.055,"0.388, (0.078, 0.616)",0.001,"0.467, (0.034, 0.739)",0.008
"[Animales, connectivity]","[timing, networks]",target,bca,"0.046, (-0.104, 0.181)",0.242,"0.041, (-0.090, 0.158)",0.252,"-0.018, (-0.188, 0.120)",0.421,"-0.094, (-0.284, 0.075)",0.16,"0.100, (-0.076, 0.246)",0.109,"-0.082, (-0.340, 0.219)",0.252,"0.065, (-0.154, 0.277)",0.287
"[Animales, nps]","[timing, executive]",target,bca,"-0.099, (-0.210, 0.028)",0.047,"-0.124, (-0.233, -0.008)",0.019,"-0.185, (-0.304, -0.059)",0.001,"-0.245, (-0.383, -0.115)",0.001,"-0.083, (-0.251, 0.082)",0.178,"0.248, (-0.057, 0.485)",0.019,"0.248, (0.029, 0.430)",0.01
"[Animales, nps]","[timing, executive__mmse]",target,bca,"-0.240, (-0.351, -0.142)",0.0,"-0.221, (-0.329, -0.112)",0.0,"-0.292, (-0.414, -0.163)",0.0,"-0.382, (-0.520, -0.213)",0.0,"-0.158, (-0.300, -0.039)",0.011,"0.442, (0.169, 0.637)",0.0,"0.575, (0.277, 0.809)",0.0
"[Animales, nps]","[timing, mmse]",target,bca,"-0.222, (-0.323, -0.134)",0.0,"-0.179, (-0.286, -0.093)",0.0,"-0.238, (-0.371, -0.102)",0.0,"-0.230, (-0.393, -0.076)",0.0,"-0.231, (-0.409, -0.095)",0.0,"0.378, (0.148, 0.587)",0.0,"0.543, (0.309, 0.727)",0.0
