task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,roc_auc,accuracy,f1,recall,precision,norm_expected_cost,norm_cross_entropy
nps,executive,target,lr,,bca,"0.78569, (0.67877, 0.86760)","0.73939, (0.64537, 0.82121)","0.72956, (0.60185, 0.82729)","0.70303, (0.53059, 0.81783)","0.75817, (0.59291, 0.87947)","0.52121, (0.30719, 0.70000)","0.88037, (0.73493, 1.08766)"
nps,executive,target,svc,,bca,"0.56728, (0.51804, 0.61209)","0.54091, (0.44394, 0.63053)","0.27338, (0.21797, 0.33016)","0.17273, (0.13437, 0.21875)","0.65517, (0.48407, 0.80603)","0.91818, (0.84242, 0.98000)","0.98651, (0.94521, 1.03428)"
nps,executive,target,xgb,,bca,"0.74328, (0.63602, 0.83541)","0.71515, (0.62838, 0.79697)","0.71601, (0.60785, 0.81160)","0.71818, (0.58571, 0.81818)","0.71386, (0.57314, 0.84314)","0.56970, (0.34325, 0.72000)","1.11235, (0.81301, 1.46165)"
nps,executive__mmse,target,knnc,,bca,"0.90657, (0.83731, 0.95251)","0.80455, (0.71385, 0.87273)","0.76243, (0.64691, 0.85554)","0.62727, (0.48879, 0.75758)","0.97183, (0.89849, 1.00000)","0.39091, (0.22115, 0.56000)","0.62488, (0.49221, 0.80186)"
nps,executive__mmse,target,lr,,bca,"0.90968, (0.83418, 0.95370)","0.83939, (0.75000, 0.90599)","0.83175, (0.72426, 0.90469)","0.79394, (0.64580, 0.89777)","0.87333, (0.74023, 0.94916)","0.32121, (0.17592, 0.49591)","0.59061, (0.46721, 0.76605)"
nps,executive__mmse,target,svc,,bca,"0.54725, (0.52490, 0.56805)","0.52424, (0.41667, 0.63485)","0.09770, (0.06042, 0.14237)","0.05152, (0.03125, 0.07679)","0.94444, (0.65807, 1.00000)","0.95152, (0.91600, 1.07742)","0.96132, (0.93994, 0.97916)"
nps,executive__mmse,target,xgb,,bca,"0.93512, (0.87562, 0.97277)","0.84697, (0.76364, 0.91212)","0.84674, (0.74962, 0.91565)","0.84545, (0.71085, 0.93000)","0.84802, (0.71739, 0.93709)","0.30606, (0.15135, 0.47093)","0.51302, (0.30034, 0.76147)"
nps,mmse,target,knnc,,bca,"0.95822, (0.90133, 0.98159)","0.83333, (0.73578, 0.90175)","0.79570, (0.66184, 0.88033)","0.68519, (0.51446, 0.80770)","0.94872, (0.84249, 0.99015)","0.35185, (0.20205, 0.53159)","0.47479, (0.35110, 0.64383)"
nps,mmse,target,lr,,bca,"0.96582, (0.91229, 0.98843)","0.87719, (0.78421, 0.93333)","0.86328, (0.74733, 0.93289)","0.81852, (0.64784, 0.92744)","0.91322, (0.75077, 0.97296)","0.25926, (0.11852, 0.44313)","0.34404, (0.21046, 0.55759)"
nps,mmse,target,svc,,bca,"0.78208, (0.67700, 0.87877)","0.80000, (0.68772, 0.89269)","0.81962, (0.70608, 0.90854)","0.95926, (0.86538, 1.00000)","0.71547, (0.56086, 0.84971)","0.42222, (0.20549, 0.73060)","0.72285, (0.57674, 0.88295)"
