C,kernel,gamma,craft__composite__speech_timing,craft__composite__text_level,craft__composite__word_level,fugu__composite__speech_timing,fugu__composite__text_level,fugu__composite__word_level,lamina2__composite__speech_timing,lamina2__composite__text_level,lamina2__composite__word_level
0.8,sigmoid,scale,0,0,0,1,1,0,1,1,1
0.8,sigmoid,scale,1,1,0,0,1,0,1,0,1
0.8,sigmoid,scale,1,0,1,1,1,1,0,1,0
0.8,sigmoid,scale,1,0,0,1,1,0,1,1,1
0.004,linear,scale,0,1,0,0,1,1,1,0,1
0.004,linear,scale,1,0,1,1,1,0,1,0,0
0.004,linear,scale,1,1,1,1,1,1,1,1,1
0.004,linear,scale,1,0,0,1,0,1,0,1,1
0.004,linear,scale,1,1,0,1,1,1,0,0,1
0.004,linear,scale,1,1,1,0,0,0,0,1,1
0.004,linear,scale,0,1,1,0,0,1,1,1,1
0.004,linear,scale,1,1,1,1,1,0,1,0,0
0.004,linear,scale,1,1,1,0,1,1,0,0,1
0.004,linear,scale,1,0,0,0,0,0,1,1,1
0.004,linear,scale,1,1,0,0,0,1,1,1,1
0.004,linear,scale,0,0,1,1,1,1,1,0,1
0.004,linear,scale,0,1,1,1,0,1,0,0,1
0.004,linear,scale,0,1,1,0,0,1,0,1,1
0.004,linear,scale,1,1,1,1,1,0,0,0,1
0.004,linear,scale,1,1,1,0,0,1,1,1,1
0.004,linear,scale,1,1,0,0,1,0,1,1,0
0.004,linear,scale,0,0,0,1,1,0,1,1,1
0.004,linear,scale,1,1,0,0,1,0,1,0,1
0.004,linear,scale,1,0,1,1,1,1,0,1,0
0.004,linear,scale,1,0,0,1,1,0,1,1,1
50.0,linear,auto,0,1,0,0,1,1,1,0,1
50.0,linear,auto,1,0,1,1,1,0,1,0,0
50.0,linear,auto,1,1,1,1,1,1,1,1,1
50.0,linear,auto,1,0,0,1,0,1,0,1,1
50.0,linear,auto,1,1,0,1,1,1,0,0,1
50.0,linear,auto,1,1,1,0,0,0,0,1,1
50.0,linear,auto,0,1,1,0,0,1,1,1,1
50.0,linear,auto,1,1,1,1,1,0,1,0,0
50.0,linear,auto,1,1,1,0,1,1,0,0,1
50.0,linear,auto,1,0,0,0,0,0,1,1,1
50.0,linear,auto,1,1,0,0,0,1,1,1,1
50.0,linear,auto,0,0,1,1,1,1,1,0,1
50.0,linear,auto,0,1,1,1,0,1,0,0,1
50.0,linear,auto,0,1,1,0,0,1,0,1,1
50.0,linear,auto,1,1,1,1,1,0,0,0,1
50.0,linear,auto,1,1,1,0,0,1,1,1,1
50.0,linear,auto,1,1,0,0,1,0,1,1,0
50.0,linear,auto,0,0,0,1,1,0,1,1,1
50.0,linear,auto,1,1,0,0,1,0,1,0,1
50.0,linear,auto,1,0,1,1,1,1,0,1,0
50.0,linear,auto,1,0,0,1,1,0,1,1,1
0.002,linear,scale,0,1,0,0,1,1,1,0,1
0.002,linear,scale,1,0,1,1,1,0,1,0,0
0.002,linear,scale,1,1,1,1,1,1,1,1,1
0.002,linear,scale,1,0,0,1,0,1,0,1,1
0.002,linear,scale,1,1,0,1,1,1,0,0,1
0.002,linear,scale,1,1,1,0,0,0,0,1,1
0.002,linear,scale,0,1,1,0,0,1,1,1,1
0.002,linear,scale,1,1,1,1,1,0,1,0,0
0.002,linear,scale,1,1,1,0,1,1,0,0,1
0.002,linear,scale,1,0,0,0,0,0,1,1,1
0.002,linear,scale,1,1,0,0,0,1,1,1,1
0.002,linear,scale,0,0,1,1,1,1,1,0,1
0.002,linear,scale,0,1,1,1,0,1,0,0,1
0.002,linear,scale,0,1,1,0,0,1,0,1,1
0.002,linear,scale,1,1,1,1,1,0,0,0,1
0.002,linear,scale,1,1,1,0,0,1,1,1,1
0.002,linear,scale,1,1,0,0,1,0,1,1,0
0.002,linear,scale,0,0,0,1,1,0,1,1,1
0.002,linear,scale,1,1,0,0,1,0,1,0,1
0.002,linear,scale,1,0,1,1,1,1,0,1,0
0.002,linear,scale,1,0,0,1,1,0,1,1,1
0.008,poly,auto,0,1,0,0,1,1,1,0,1
0.008,poly,auto,1,0,1,1,1,0,1,0,0
0.008,poly,auto,1,1,1,1,1,1,1,1,1
0.008,poly,auto,1,0,0,1,0,1,0,1,1
0.008,poly,auto,1,1,0,1,1,1,0,0,1
0.008,poly,auto,1,1,1,0,0,0,0,1,1
0.008,poly,auto,0,1,1,0,0,1,1,1,1
0.008,poly,auto,1,1,1,1,1,0,1,0,0
0.008,poly,auto,1,1,1,0,1,1,0,0,1
0.008,poly,auto,1,0,0,0,0,0,1,1,1
0.008,poly,auto,1,1,0,0,0,1,1,1,1
0.008,poly,auto,0,0,1,1,1,1,1,0,1
0.008,poly,auto,0,1,1,1,0,1,0,0,1
0.008,poly,auto,0,1,1,0,0,1,0,1,1
0.008,poly,auto,1,1,1,1,1,0,0,0,1
0.008,poly,auto,1,1,1,0,0,1,1,1,1
0.008,poly,auto,1,1,0,0,1,0,1,1,0
0.008,poly,auto,0,0,0,1,1,0,1,1,1
0.008,poly,auto,1,1,0,0,1,0,1,0,1
0.008,poly,auto,1,0,1,1,1,1,0,1,0
0.008,poly,auto,1,0,0,1,1,0,1,1,1
0.003,linear,auto,0,1,0,0,1,1,1,0,1
0.003,linear,auto,1,0,1,1,1,0,1,0,0
0.003,linear,auto,1,1,1,1,1,1,1,1,1
0.003,linear,auto,1,0,0,1,0,1,0,1,1
0.003,linear,auto,1,1,0,1,1,1,0,0,1
0.003,linear,auto,1,1,1,0,0,0,0,1,1
0.003,linear,auto,0,1,1,0,0,1,1,1,1
0.003,linear,auto,1,1,1,1,1,0,1,0,0
0.003,linear,auto,1,1,1,0,1,1,0,0,1
0.003,linear,auto,1,0,0,0,0,0,1,1,1
0.003,linear,auto,1,1,0,0,0,1,1,1,1
0.003,linear,auto,0,0,1,1,1,1,1,0,1
0.003,linear,auto,0,1,1,1,0,1,0,0,1
0.003,linear,auto,0,1,1,0,0,1,0,1,1
0.003,linear,auto,1,1,1,1,1,0,0,0,1
0.003,linear,auto,1,1,1,0,0,1,1,1,1
0.003,linear,auto,1,1,0,0,1,0,1,1,0
0.003,linear,auto,0,0,0,1,1,0,1,1,1
0.003,linear,auto,1,1,0,0,1,0,1,0,1
0.003,linear,auto,1,0,1,1,1,1,0,1,0
0.003,linear,auto,1,0,0,1,1,0,1,1,1
10.0,linear,scale,0,1,0,0,1,1,1,0,1
10.0,linear,scale,1,0,1,1,1,0,1,0,0
10.0,linear,scale,1,1,1,1,1,1,1,1,1
10.0,linear,scale,1,0,0,1,0,1,0,1,1
10.0,linear,scale,1,1,0,1,1,1,0,0,1
10.0,linear,scale,1,1,1,0,0,0,0,1,1
10.0,linear,scale,0,1,1,0,0,1,1,1,1
10.0,linear,scale,1,1,1,1,1,0,1,0,0
10.0,linear,scale,1,1,1,0,1,1,0,0,1
10.0,linear,scale,1,0,0,0,0,0,1,1,1
10.0,linear,scale,1,1,0,0,0,1,1,1,1
10.0,linear,scale,0,0,1,1,1,1,1,0,1
10.0,linear,scale,0,1,1,1,0,1,0,0,1
10.0,linear,scale,0,1,1,0,0,1,0,1,1
10.0,linear,scale,1,1,1,1,1,0,0,0,1
10.0,linear,scale,1,1,1,0,0,1,1,1,1
10.0,linear,scale,1,1,0,0,1,0,1,1,0
10.0,linear,scale,0,0,0,1,1,0,1,1,1
10.0,linear,scale,1,1,0,0,1,0,1,0,1
10.0,linear,scale,1,0,1,1,1,1,0,1,0
10.0,linear,scale,1,0,0,1,1,0,1,1,1
1.0,rbf,auto,0,1,0,0,1,1,1,0,1
1.0,rbf,auto,1,0,1,1,1,0,1,0,0
1.0,rbf,auto,1,1,1,1,1,1,1,1,1
1.0,rbf,auto,1,0,0,1,0,1,0,1,1
1.0,rbf,auto,1,1,0,1,1,1,0,0,1
1.0,rbf,auto,1,1,1,0,0,0,0,1,1
1.0,rbf,auto,0,1,1,0,0,1,1,1,1
1.0,rbf,auto,1,1,1,1,1,0,1,0,0
1.0,rbf,auto,1,1,1,0,1,1,0,0,1
1.0,rbf,auto,1,0,0,0,0,0,1,1,1
1.0,rbf,auto,1,1,0,0,0,1,1,1,1
1.0,rbf,auto,0,0,1,1,1,1,1,0,1
1.0,rbf,auto,0,1,1,1,0,1,0,0,1
1.0,rbf,auto,0,1,1,0,0,1,0,1,1
1.0,rbf,auto,1,1,1,1,1,0,0,0,1
1.0,rbf,auto,1,1,1,0,0,1,1,1,1
1.0,rbf,auto,1,1,0,0,1,0,1,1,0
1.0,rbf,auto,0,0,0,1,1,0,1,1,1
1.0,rbf,auto,1,1,0,0,1,0,1,0,1
1.0,rbf,auto,1,0,1,1,1,1,0,1,0
1.0,rbf,auto,1,0,0,1,1,0,1,1,1
6.0,poly,auto,0,1,0,0,1,1,1,0,1
6.0,poly,auto,1,0,1,1,1,0,1,0,0
6.0,poly,auto,1,1,1,1,1,1,1,1,1
6.0,poly,auto,1,0,0,1,0,1,0,1,1
6.0,poly,auto,1,1,0,1,1,1,0,0,1
6.0,poly,auto,1,1,1,0,0,0,0,1,1
6.0,poly,auto,0,1,1,0,0,1,1,1,1
6.0,poly,auto,1,1,1,1,1,0,1,0,0
6.0,poly,auto,1,1,1,0,1,1,0,0,1
6.0,poly,auto,1,0,0,0,0,0,1,1,1
6.0,poly,auto,1,1,0,0,0,1,1,1,1
6.0,poly,auto,0,0,1,1,1,1,1,0,1
6.0,poly,auto,0,1,1,1,0,1,0,0,1
6.0,poly,auto,0,1,1,0,0,1,0,1,1
6.0,poly,auto,1,1,1,1,1,0,0,0,1
6.0,poly,auto,1,1,1,0,0,1,1,1,1
6.0,poly,auto,1,1,0,0,1,0,1,1,0
6.0,poly,auto,0,0,0,1,1,0,1,1,1
6.0,poly,auto,1,1,0,0,1,0,1,0,1
6.0,poly,auto,1,0,1,1,1,1,0,1,0
6.0,poly,auto,1,0,0,1,1,0,1,1,1
20.0,linear,scale,0,1,0,0,1,1,1,0,1
20.0,linear,scale,1,0,1,1,1,0,1,0,0
20.0,linear,scale,1,1,1,1,1,1,1,1,1
20.0,linear,scale,1,0,0,1,0,1,0,1,1
20.0,linear,scale,1,1,0,1,1,1,0,0,1
20.0,linear,scale,1,1,1,0,0,0,0,1,1
20.0,linear,scale,0,1,1,0,0,1,1,1,1
20.0,linear,scale,1,1,1,1,1,0,1,0,0
20.0,linear,scale,1,1,1,0,1,1,0,0,1
20.0,linear,scale,1,0,0,0,0,0,1,1,1
20.0,linear,scale,1,1,0,0,0,1,1,1,1
20.0,linear,scale,0,0,1,1,1,1,1,0,1
20.0,linear,scale,0,1,1,1,0,1,0,0,1
20.0,linear,scale,0,1,1,0,0,1,0,1,1
20.0,linear,scale,1,1,1,1,1,0,0,0,1
20.0,linear,scale,1,1,1,0,0,1,1,1,1
20.0,linear,scale,1,1,0,0,1,0,1,1,0
20.0,linear,scale,0,0,0,1,1,0,1,1,1
20.0,linear,scale,1,1,0,0,1,0,1,0,1
20.0,linear,scale,1,0,1,1,1,1,0,1,0
20.0,linear,scale,1,0,0,1,1,0,1,1,1
0.006,sigmoid,scale,0,1,0,0,1,1,1,0,1
0.006,sigmoid,scale,1,0,1,1,1,0,1,0,0
0.006,sigmoid,scale,1,1,1,1,1,1,1,1,1
0.006,sigmoid,scale,1,0,0,1,0,1,0,1,1
0.006,sigmoid,scale,1,1,0,1,1,1,0,0,1
0.006,sigmoid,scale,1,1,1,0,0,0,0,1,1
0.006,sigmoid,scale,0,1,1,0,0,1,1,1,1
0.006,sigmoid,scale,1,1,1,1,1,0,1,0,0
0.006,sigmoid,scale,1,1,1,0,1,1,0,0,1
0.006,sigmoid,scale,1,0,0,0,0,0,1,1,1
0.006,sigmoid,scale,1,1,0,0,0,1,1,1,1
0.006,sigmoid,scale,0,0,1,1,1,1,1,0,1
0.006,sigmoid,scale,0,1,1,1,0,1,0,0,1
0.006,sigmoid,scale,0,1,1,0,0,1,0,1,1
0.006,sigmoid,scale,1,1,1,1,1,0,0,0,1
0.006,sigmoid,scale,1,1,1,0,0,1,1,1,1
0.006,sigmoid,scale,1,1,0,0,1,0,1,1,0
0.006,sigmoid,scale,0,0,0,1,1,0,1,1,1
0.006,sigmoid,scale,1,1,0,0,1,0,1,0,1
0.006,sigmoid,scale,1,0,1,1,1,1,0,1,0
0.006,sigmoid,scale,1,0,0,1,1,0,1,1,1
0.03,sigmoid,scale,0,1,0,0,1,1,1,0,1
0.03,sigmoid,scale,1,0,1,1,1,0,1,0,0
0.03,sigmoid,scale,1,1,1,1,1,1,1,1,1
0.03,sigmoid,scale,1,0,0,1,0,1,0,1,1
0.03,sigmoid,scale,1,1,0,1,1,1,0,0,1
0.03,sigmoid,scale,1,1,1,0,0,0,0,1,1
0.03,sigmoid,scale,0,1,1,0,0,1,1,1,1
0.03,sigmoid,scale,1,1,1,1,1,0,1,0,0
0.03,sigmoid,scale,1,1,1,0,1,1,0,0,1
0.03,sigmoid,scale,1,0,0,0,0,0,1,1,1
0.03,sigmoid,scale,1,1,0,0,0,1,1,1,1
0.03,sigmoid,scale,0,0,1,1,1,1,1,0,1
0.03,sigmoid,scale,0,1,1,1,0,1,0,0,1
0.03,sigmoid,scale,0,1,1,0,0,1,0,1,1
0.03,sigmoid,scale,1,1,1,1,1,0,0,0,1
0.03,sigmoid,scale,1,1,1,0,0,1,1,1,1
0.03,sigmoid,scale,1,1,0,0,1,0,1,1,0
0.03,sigmoid,scale,0,0,0,1,1,0,1,1,1
0.03,sigmoid,scale,1,1,0,0,1,0,1,0,1
0.03,sigmoid,scale,1,0,1,1,1,1,0,1,0
0.03,sigmoid,scale,1,0,0,1,1,0,1,1,1
4.0,rbf,scale,0,1,0,0,1,1,1,0,1
4.0,rbf,scale,1,0,1,1,1,0,1,0,0
4.0,rbf,scale,1,1,1,1,1,1,1,1,1
4.0,rbf,scale,1,0,0,1,0,1,0,1,1
4.0,rbf,scale,1,1,0,1,1,1,0,0,1
4.0,rbf,scale,1,1,1,0,0,0,0,1,1
4.0,rbf,scale,0,1,1,0,0,1,1,1,1
4.0,rbf,scale,1,1,1,1,1,0,1,0,0
4.0,rbf,scale,1,1,1,0,1,1,0,0,1
4.0,rbf,scale,1,0,0,0,0,0,1,1,1
4.0,rbf,scale,1,1,0,0,0,1,1,1,1
4.0,rbf,scale,0,0,1,1,1,1,1,0,1
4.0,rbf,scale,0,1,1,1,0,1,0,0,1
4.0,rbf,scale,0,1,1,0,0,1,0,1,1
4.0,rbf,scale,1,1,1,1,1,0,0,0,1
4.0,rbf,scale,1,1,1,0,0,1,1,1,1
4.0,rbf,scale,1,1,0,0,1,0,1,1,0
4.0,rbf,scale,0,0,0,1,1,0,1,1,1
4.0,rbf,scale,1,1,0,0,1,0,1,0,1
4.0,rbf,scale,1,0,1,1,1,1,0,1,0
4.0,rbf,scale,1,0,0,1,1,0,1,1,1
50.0,rbf,scale,0,1,0,0,1,1,1,0,1
50.0,rbf,scale,1,0,1,1,1,0,1,0,0
50.0,rbf,scale,1,1,1,1,1,1,1,1,1
50.0,rbf,scale,1,0,0,1,0,1,0,1,1
50.0,rbf,scale,1,1,0,1,1,1,0,0,1
50.0,rbf,scale,1,1,1,0,0,0,0,1,1
50.0,rbf,scale,0,1,1,0,0,1,1,1,1
50.0,rbf,scale,1,1,1,1,1,0,1,0,0
50.0,rbf,scale,1,1,1,0,1,1,0,0,1
50.0,rbf,scale,1,0,0,0,0,0,1,1,1
50.0,rbf,scale,1,1,0,0,0,1,1,1,1
50.0,rbf,scale,0,0,1,1,1,1,1,0,1
50.0,rbf,scale,0,1,1,1,0,1,0,0,1
50.0,rbf,scale,0,1,1,0,0,1,0,1,1
50.0,rbf,scale,1,1,1,1,1,0,0,0,1
50.0,rbf,scale,1,1,1,0,0,1,1,1,1
50.0,rbf,scale,1,1,0,0,1,0,1,1,0
50.0,rbf,scale,0,0,0,1,1,0,1,1,1
50.0,rbf,scale,1,1,0,0,1,0,1,0,1
50.0,rbf,scale,1,0,1,1,1,1,0,1,0
50.0,rbf,scale,1,0,0,1,1,0,1,1,1
2.0,linear,scale,0,1,0,0,1,1,1,0,1
2.0,linear,scale,1,0,1,1,1,0,1,0,0
2.0,linear,scale,1,1,1,1,1,1,1,1,1
2.0,linear,scale,1,0,0,1,0,1,0,1,1
2.0,linear,scale,1,1,0,1,1,1,0,0,1
2.0,linear,scale,1,1,1,0,0,0,0,1,1
2.0,linear,scale,0,1,1,0,0,1,1,1,1
2.0,linear,scale,1,1,1,1,1,0,1,0,0
2.0,linear,scale,1,1,1,0,1,1,0,0,1
2.0,linear,scale,1,0,0,0,0,0,1,1,1
2.0,linear,scale,1,1,0,0,0,1,1,1,1
2.0,linear,scale,0,0,1,1,1,1,1,0,1
2.0,linear,scale,0,1,1,1,0,1,0,0,1
2.0,linear,scale,0,1,1,0,0,1,0,1,1
2.0,linear,scale,1,1,1,1,1,0,0,0,1
2.0,linear,scale,1,1,1,0,0,1,1,1,1
2.0,linear,scale,1,1,0,0,1,0,1,1,0
2.0,linear,scale,0,0,0,1,1,0,1,1,1
2.0,linear,scale,1,1,0,0,1,0,1,0,1
2.0,linear,scale,1,0,1,1,1,1,0,1,0
2.0,linear,scale,1,0,0,1,1,0,1,1,1
0.002,linear,auto,0,1,0,0,1,1,1,0,1
0.002,linear,auto,1,0,1,1,1,0,1,0,0
0.002,linear,auto,1,1,1,1,1,1,1,1,1
0.002,linear,auto,1,0,0,1,0,1,0,1,1
0.002,linear,auto,1,1,0,1,1,1,0,0,1
0.002,linear,auto,1,1,1,0,0,0,0,1,1
0.002,linear,auto,0,1,1,0,0,1,1,1,1
0.002,linear,auto,1,1,1,1,1,0,1,0,0
0.002,linear,auto,1,1,1,0,1,1,0,0,1
0.002,linear,auto,1,0,0,0,0,0,1,1,1
0.002,linear,auto,1,1,0,0,0,1,1,1,1
0.002,linear,auto,0,0,1,1,1,1,1,0,1
0.002,linear,auto,0,1,1,1,0,1,0,0,1
0.002,linear,auto,0,1,1,0,0,1,0,1,1
0.002,linear,auto,1,1,1,1,1,0,0,0,1
0.002,linear,auto,1,1,1,0,0,1,1,1,1
0.002,linear,auto,1,1,0,0,1,0,1,1,0
0.002,linear,auto,0,0,0,1,1,0,1,1,1
0.002,linear,auto,1,1,0,0,1,0,1,0,1
0.002,linear,auto,1,0,1,1,1,1,0,1,0
0.002,linear,auto,1,0,0,1,1,0,1,1,1
0.004,poly,scale,0,1,0,0,1,1,1,0,1
0.004,poly,scale,1,0,1,1,1,0,1,0,0
0.004,poly,scale,1,1,1,1,1,1,1,1,1
0.004,poly,scale,1,0,0,1,0,1,0,1,1
0.004,poly,scale,1,1,0,1,1,1,0,0,1
0.004,poly,scale,1,1,1,0,0,0,0,1,1
0.004,poly,scale,0,1,1,0,0,1,1,1,1
0.004,poly,scale,1,1,1,1,1,0,1,0,0
0.004,poly,scale,1,1,1,0,1,1,0,0,1
0.004,poly,scale,1,0,0,0,0,0,1,1,1
0.004,poly,scale,1,1,0,0,0,1,1,1,1
0.004,poly,scale,0,0,1,1,1,1,1,0,1
0.004,poly,scale,0,1,1,1,0,1,0,0,1
0.004,poly,scale,0,1,1,0,0,1,0,1,1
0.004,poly,scale,1,1,1,1,1,0,0,0,1
0.004,poly,scale,1,1,1,0,0,1,1,1,1
0.004,poly,scale,1,1,0,0,1,0,1,1,0
0.004,poly,scale,0,0,0,1,1,0,1,1,1
0.004,poly,scale,1,1,0,0,1,0,1,0,1
0.004,poly,scale,1,0,1,1,1,1,0,1,0
0.004,poly,scale,1,0,0,1,1,0,1,1,1
40.0,rbf,auto,0,1,0,0,1,1,1,0,1
40.0,rbf,auto,1,0,1,1,1,0,1,0,0
40.0,rbf,auto,1,1,1,1,1,1,1,1,1
40.0,rbf,auto,1,0,0,1,0,1,0,1,1
40.0,rbf,auto,1,1,0,1,1,1,0,0,1
40.0,rbf,auto,1,1,1,0,0,0,0,1,1
40.0,rbf,auto,0,1,1,0,0,1,1,1,1
40.0,rbf,auto,1,1,1,1,1,0,1,0,0
40.0,rbf,auto,1,1,1,0,1,1,0,0,1
40.0,rbf,auto,1,0,0,0,0,0,1,1,1
40.0,rbf,auto,1,1,0,0,0,1,1,1,1
40.0,rbf,auto,0,0,1,1,1,1,1,0,1
40.0,rbf,auto,0,1,1,1,0,1,0,0,1
40.0,rbf,auto,0,1,1,0,0,1,0,1,1
40.0,rbf,auto,1,1,1,1,1,0,0,0,1
40.0,rbf,auto,1,1,1,0,0,1,1,1,1
40.0,rbf,auto,1,1,0,0,1,0,1,1,0
40.0,rbf,auto,0,0,0,1,1,0,1,1,1
40.0,rbf,auto,1,1,0,0,1,0,1,0,1
40.0,rbf,auto,1,0,1,1,1,1,0,1,0
40.0,rbf,auto,1,0,0,1,1,0,1,1,1
60.0,poly,auto,0,1,0,0,1,1,1,0,1
60.0,poly,auto,1,0,1,1,1,0,1,0,0
60.0,poly,auto,1,1,1,1,1,1,1,1,1
60.0,poly,auto,1,0,0,1,0,1,0,1,1
60.0,poly,auto,1,1,0,1,1,1,0,0,1
60.0,poly,auto,1,1,1,0,0,0,0,1,1
60.0,poly,auto,0,1,1,0,0,1,1,1,1
60.0,poly,auto,1,1,1,1,1,0,1,0,0
60.0,poly,auto,1,1,1,0,1,1,0,0,1
60.0,poly,auto,1,0,0,0,0,0,1,1,1
60.0,poly,auto,1,1,0,0,0,1,1,1,1
60.0,poly,auto,0,0,1,1,1,1,1,0,1
60.0,poly,auto,0,1,1,1,0,1,0,0,1
60.0,poly,auto,0,1,1,0,0,1,0,1,1
60.0,poly,auto,1,1,1,1,1,0,0,0,1
60.0,poly,auto,1,1,1,0,0,1,1,1,1
60.0,poly,auto,1,1,0,0,1,0,1,1,0
60.0,poly,auto,0,0,0,1,1,0,1,1,1
60.0,poly,auto,1,1,0,0,1,0,1,0,1
60.0,poly,auto,1,0,1,1,1,1,0,1,0
60.0,poly,auto,1,0,0,1,1,0,1,1,1
