random_seed,fold,threshold,roc_auc,n_neighbors,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
27,0,[None],0.8045977011494253,40,1,1,1,0,1,0,1,1,1,1,0,1,0
27,1,[None],0.8172413793103449,19,1,1,0,1,1,1,1,1,1,1,1,1,1
27,2,[None],0.803448275862069,4,1,0,1,1,1,1,1,1,1,1,1,1,0
27,3,[None],0.8729885057471264,38,1,1,1,1,1,0,1,1,1,1,1,1,1
27,4,[None],0.825287356321839,39,1,1,0,1,1,1,1,1,1,1,1,1,1
27,5,[None],0.843103448275862,16,1,1,0,1,1,1,0,1,1,0,0,1,1
27,6,[None],0.825,41,1,1,1,1,1,1,1,1,1,1,1,1,1
27,7,[None],0.8383333333333334,39,1,1,1,1,1,0,1,1,1,1,1,1,1
27,8,[None],0.7822222222222222,37,1,1,1,0,1,1,1,1,1,1,1,1,1
27,9,[None],0.8233333333333334,43,1,1,1,1,0,0,1,1,1,1,0,0,1
81,0,[None],0.8758620689655172,17,1,1,0,0,0,0,1,1,0,0,0,1,1
81,1,[None],0.8459770114942529,38,1,1,1,1,1,1,1,1,1,1,0,1,1
81,2,[None],0.8517241379310346,38,1,0,1,1,1,0,1,1,1,1,1,1,1
81,3,[None],0.8350574712643678,36,1,1,1,1,1,0,1,0,1,1,1,1,1
81,4,[None],0.7735632183908047,41,1,1,1,1,1,1,1,1,1,1,1,1,0
81,5,[None],0.8189655172413793,38,1,0,1,0,1,1,1,1,1,1,1,1,1
81,6,[None],0.8388888888888889,42,1,0,1,1,1,1,1,1,1,1,1,1,1
81,7,[None],0.8111111111111112,42,1,0,1,0,1,1,0,1,1,1,1,1,1
81,8,[None],0.8544444444444445,42,1,1,0,1,0,1,1,1,1,1,0,1,1
81,9,[None],0.8366666666666666,41,1,0,1,1,1,1,1,1,1,1,1,1,1
243,0,[None],0.8390804597701149,41,1,1,1,1,1,1,1,1,1,1,1,1,1
243,1,[None],0.8080459770114942,20,1,1,0,1,0,1,1,1,0,1,0,1,1
243,2,[None],0.8683908045977012,40,1,0,1,1,0,0,1,0,0,1,1,1,1
243,3,[None],0.8229885057471265,39,1,1,1,0,1,1,1,1,1,1,1,1,1
243,4,[None],0.8402298850574713,39,1,0,1,1,0,0,1,1,0,1,1,0,1
243,5,[None],0.8097701149425287,20,1,1,1,1,0,1,1,1,1,1,1,1,1
243,6,[None],0.8161111111111111,41,1,1,1,0,1,1,1,1,1,1,1,1,1
243,7,[None],0.8344444444444444,40,1,1,1,1,1,0,1,1,1,1,1,1,1
243,8,[None],0.7922222222222223,40,1,1,1,1,0,1,1,1,1,1,1,1,1
243,9,[None],0.8761111111111112,37,1,1,1,0,1,0,1,1,1,1,0,0,1
729,0,[None],0.8459770114942529,41,1,0,1,0,1,1,1,1,0,1,1,1,1
729,1,[None],0.8057471264367816,43,1,1,1,1,1,1,1,1,1,1,1,1,1
729,2,[None],0.8781609195402299,39,1,1,1,1,1,0,1,1,1,1,1,1,1
729,3,[None],0.8408045977011495,35,1,1,1,1,1,1,1,0,1,1,0,1,1
729,4,[None],0.8097701149425287,41,1,1,1,1,1,0,1,0,1,1,1,1,1
729,5,[None],0.8022988505747127,40,1,0,1,1,1,1,1,1,1,1,1,1,1
729,6,[None],0.8127777777777778,39,1,1,1,1,1,0,1,1,1,1,1,1,1
729,7,[None],0.7911111111111111,42,1,1,1,1,1,0,1,1,1,1,1,1,1
729,8,[None],0.818888888888889,40,1,0,1,1,1,1,1,1,1,1,1,1,0
729,9,[None],0.7972222222222223,19,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,0,[None],0.7954022988505747,40,1,1,1,1,1,0,1,0,1,1,1,1,1
2187,1,[None],0.8580459770114943,41,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.864367816091954,39,1,0,1,1,1,0,1,1,1,1,1,1,1
2187,3,[None],0.7925287356321838,16,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,4,[None],0.7724137931034483,42,1,1,1,1,1,1,1,1,1,1,1,1,0
2187,5,[None],0.8568965517241379,36,1,0,1,1,1,1,1,1,1,1,1,1,1
2187,6,[None],0.8266666666666667,40,1,1,1,1,1,0,1,1,1,1,1,1,1
2187,7,[None],0.8227777777777777,39,1,1,1,0,0,1,1,0,1,1,0,1,1
2187,8,[None],0.8533333333333333,19,1,1,0,1,0,0,1,1,0,1,1,1,1
2187,9,[None],0.8127777777777777,40,1,1,1,1,1,0,1,1,1,1,1,1,1
6561,0,[None],0.8431034482758621,41,1,0,1,1,1,1,1,1,1,1,1,1,0
6561,1,[None],0.8005747126436782,38,1,1,1,1,1,0,1,1,1,1,1,1,1
6561,2,[None],0.8120689655172414,36,1,1,1,1,1,0,1,1,1,1,1,1,1
6561,3,[None],0.8160919540229885,38,1,0,1,1,1,0,1,1,1,1,1,1,1
6561,4,[None],0.8580459770114942,38,1,1,0,1,1,1,1,1,1,1,1,1,1
6561,5,[None],0.7948275862068966,35,1,1,1,1,1,0,1,1,1,1,1,1,1
6561,6,[None],0.8305555555555556,42,1,1,1,0,1,1,1,1,1,1,0,1,1
6561,7,[None],0.7983333333333333,41,1,1,1,1,1,0,1,1,1,1,1,1,1
6561,8,[None],0.8316666666666668,35,1,1,0,1,1,1,1,0,1,1,0,0,1
6561,9,[None],0.8438888888888889,37,1,1,0,1,1,1,1,1,1,1,1,1,1
19683,0,[None],0.8028735632183908,16,1,1,1,1,1,0,1,1,0,1,1,0,1
19683,1,[None],0.817816091954023,16,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,2,[None],0.8367816091954022,31,1,0,1,1,1,0,0,1,1,1,0,1,1
19683,3,[None],0.8229885057471265,40,1,1,1,1,1,0,1,0,1,1,0,1,1
19683,4,[None],0.8442528735632183,39,1,0,1,1,1,0,1,1,1,1,1,1,1
19683,5,[None],0.8419540229885057,42,1,1,1,1,1,1,0,1,1,1,1,1,1
19683,6,[None],0.8066666666666668,41,1,1,1,1,1,0,1,1,1,1,1,1,1
19683,7,[None],0.8205555555555556,20,1,1,0,1,0,1,1,1,1,1,1,1,0
19683,8,[None],0.7816666666666667,41,1,1,1,1,1,1,1,1,1,1,1,1,1
19683,9,[None],0.8138888888888889,43,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,0,[None],0.8114942528735632,41,1,1,1,0,1,1,1,1,1,1,1,1,1
59049,1,[None],0.846551724137931,36,1,0,0,1,1,0,1,1,1,0,0,1,1
59049,2,[None],0.843103448275862,41,1,1,1,1,1,1,1,1,1,1,1,1,1
59049,3,[None],0.8241379310344827,39,1,1,1,1,1,0,1,1,1,1,1,1,1
59049,4,[None],0.8126436781609194,40,1,0,1,1,0,1,1,1,1,1,1,1,0
59049,5,[None],0.8626436781609195,40,1,1,0,1,1,0,0,0,1,1,1,1,1
59049,6,[None],0.8633333333333334,37,1,1,1,0,1,0,1,1,1,1,0,1,1
59049,7,[None],0.8111111111111111,19,1,1,1,1,1,1,1,1,1,1,1,0,1
59049,8,[None],0.816111111111111,38,1,1,1,1,1,0,1,1,1,1,0,0,1
59049,9,[None],0.7627777777777777,38,1,1,1,1,1,1,1,1,1,1,1,1,1
