random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,Animales__properties__log_frq_promedio,Animales__properties__log_frq_std,Animales__properties__sa_num_phon_promedio,Animales__properties__sa_num_phon_std,Animales__properties__sa_num_syll_promedio,Animales__properties__sa_num_syll_std,Animales__properties__sa_NP__promedio,Animales__properties__sa_NP__std,Animales__properties__concreteness_imputada_promedio,Animales__properties__concreteness_imputada_std,Animales__properties__osv,Animales__properties__granularidad_promedio,Animales__properties__granularidad_std
729,4,[None],0.906896551724138,6,443,0.4727427102367873,1,1,1,0,0,1,1,1,0,0,1,0,1
729,5,[None],0.9235632183908046,1,432,0.7325538340470903,1,1,1,1,0,0,0,1,0,0,0,0,1
729,6,[None],0.9133333333333334,1,452,0.4109213588562678,1,1,0,0,0,0,1,1,1,1,0,0,1
729,7,[None],0.8966666666666667,1,16,0.8174752800914794,1,1,1,1,1,1,1,1,1,0,1,1,1
729,8,[None],0.9305555555555556,1,453,0.3886294419048136,1,1,1,1,0,1,0,1,1,0,1,0,1
729,9,[None],0.925,1,345,0.4150513484610965,1,1,1,0,1,0,0,1,1,1,1,0,1
2187,0,[None],0.8827586206896553,1,114,0.723436727930657,1,1,1,0,0,1,0,1,0,1,1,1,1
2187,1,[None],0.9344827586206896,1,407,0.47625683006183794,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,2,[None],0.9000000000000001,8,448,0.318685471496892,1,1,1,1,0,1,1,1,1,1,1,1,1
2187,3,[None],0.9293103448275862,1,456,0.7274080046127627,1,1,0,1,0,0,0,1,0,1,1,0,1
2187,4,[None],0.8816091954022989,8,448,0.318685471496892,1,1,0,0,1,1,1,1,0,1,1,1,1
2187,5,[None],0.9022988505747127,2,356,0.7610242635682806,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,6,[None],0.8805555555555555,3,259,0.7033159399362827,1,1,0,1,0,1,1,1,1,1,1,1,1
2187,7,[None],0.9455555555555556,1,454,0.27024756122621474,1,1,1,1,1,0,1,1,1,0,1,1,1
2187,8,[None],0.9166666666666667,2,146,0.366995481450398,1,1,1,1,1,1,1,1,1,1,1,1,1
2187,9,[None],0.8888888888888891,1,454,0.29977910913917016,1,1,0,0,0,0,1,1,1,0,0,0,1
6561,0,[None],0.9436781609195404,1,114,0.42768068083763006,1,1,0,1,0,1,0,1,0,0,1,0,1
6561,1,[None],0.8902298850574712,4,144,0.6384405725887676,1,1,1,1,1,1,1,1,1,1,1,1,1
6561,2,[None],0.8879310344827587,2,356,0.7610242635682806,1,1,1,1,0,1,1,1,1,0,1,0,1
6561,3,[None],0.9114942528735632,2,464,0.8083122591848525,1,1,0,1,0,0,1,1,0,1,1,0,1
6561,4,[None],0.932183908045977,1,448,0.47273753537171803,1,1,0,1,0,1,0,1,1,0,1,0,1
6561,5,[None],0.9063218390804598,2,446,0.5589739302645621,1,1,0,1,1,1,1,1,1,1,1,0,1
6561,6,[None],0.893888888888889,5,392,0.2004741083762014,1,1,1,0,0,0,1,1,1,1,0,1,1
6561,7,[None],0.8844444444444445,9,386,0.19951696585263823,1,1,1,0,1,0,1,1,1,1,1,1,1
6561,8,[None],0.9122222222222222,1,15,0.6470428522314906,1,1,1,0,1,0,0,1,0,0,0,1,1
6561,9,[None],0.9283333333333333,2,446,0.5398028996737351,1,1,1,1,1,1,1,1,1,1,1,0,1
19683,0,[None],0.9120689655172414,8,386,0.1276455393570854,1,1,1,0,1,0,1,1,0,0,1,0,1
19683,1,[None],0.9206896551724139,8,447,0.3348326419075035,1,1,1,0,1,1,0,1,1,1,0,1,1
19683,2,[None],0.8908045977011495,3,163,0.729876572159726,1,1,1,1,1,1,1,1,1,1,1,1,1
