task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score,r2_extremo
agradable__rutina,speech_timing,ad8,elastic,,bca,"1.53575, (1.31002, 1.86165)","3.22237, (2.33745, 4.77197)","-0.01675, (-0.03779, 0.01889)",-0.03779
agradable__rutina,speech_timing__word_properties,ad8,ridge,,bca,"1.45314, (1.22615, 1.75171)","2.89915, (2.06831, 4.40409)","0.08523, (0.01285, 0.16120)",0.01285
agradable__rutina,word_properties,ad8,ridge,,bca,"1.48546, (1.26082, 1.77842)","3.00626, (2.16661, 4.46175)","0.05144, (0.01443, 0.12825)",0.01443
agradable__rutina__video_retelling,speech_timing,ad8,ridge,,bca,"1.51428, (1.29066, 1.84729)","3.13401, (2.28894, 4.68691)","0.01113, (-0.03753, 0.09361)",-0.03753
agradable__rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.48107, (1.25263, 1.78558)","2.99484, (2.18241, 4.49812)","0.05504, (-0.00366, 0.16826)",-0.00366
agradable__rutina__video_retelling,word_properties,ad8,ridge,,bca,"1.47543, (1.24235, 1.76244)","2.97170, (2.12040, 4.27066)","0.06234, (0.00132, 0.21525)",0.00132
rutina,sentiment,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
rutina,sentiment__speech_timing,ad8,ridge,,bca,"1.55094, (1.33113, 1.85984)","3.23735, (2.35751, 4.71299)","-0.02148, (-0.05308, 0.03348)",-0.05308
rutina,sentiment__speech_timing__word_properties,ad8,lasso,,bca,"1.34384, (1.11493, 1.62808)","2.54078, (1.81267, 3.71142)","0.19831, (0.04866, 0.39904)",0.04866
rutina,sentiment__word_properties,ad8,elastic,,bca,"1.35540, (1.12395, 1.62446)","2.58209, (1.81193, 3.70701)","0.18528, (0.06721, 0.47334)",0.06721
rutina,speech_timing,ad8,ridge,,bca,"1.53551, (1.30961, 1.85499)","3.20688, (2.36019, 4.72450)","-0.01186, (-0.05716, 0.06822)",-0.05716
rutina,speech_timing__word_properties,ad8,elastic,,bca,"1.41828, (1.17873, 1.67456)","2.72354, (1.99092, 3.83405)","0.14064, (0.01058, 0.33572)",0.01058
rutina,verbosity,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
rutina,word_properties,ad8,lasso,,bca,"1.37255, (1.13048, 1.64294)","2.59395, (1.80282, 3.71244)","0.18153, (0.03896, 0.48899)",0.03896
rutina__video_retelling,speech_timing,ad8,lasso,,bca,"1.51011, (1.26967, 1.80635)","3.12937, (2.25675, 4.67635)","0.01259, (-0.04261, 0.14739)",-0.04261
rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.52123, (1.29038, 1.83173)","3.16278, (2.28693, 4.71113)","0.00205, (-0.03600, 0.08067)",-0.036
rutina__video_retelling,word_properties,ad8,elastic,,bca,"1.46581, (1.23766, 1.74831)","2.93544, (2.08996, 4.33275)","0.07378, (-0.00001, 0.29548)",-1e-05
video_retelling,speech_timing,ad8,ridge,,bca,"1.53801, (1.31219, 1.85997)","3.23232, (2.33600, 4.75785)","-0.01989, (-0.04455, 0.01867)",-0.04455
video_retelling,speech_timing__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
video_retelling,word_properties,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)",-0.038
