task,dimension,y_label,model_type,random_seed_test,bootstrap_method_dev,mean_absolute_error,mean_squared_error,r2_score
rutina,sentiment__speech_timing,ad8,svr,,bca,"1.47365, (1.19080, 1.87358)","3.53593, (2.38222, 5.49960)","-0.11569, (-0.33677, 0.02249)"
rutina,sentiment__speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment__speech_timing__word_properties,rudas,knnr,,bca,"3.25156, (2.59550, 4.04225)","16.78258, (11.23712, 24.73831)","-0.13742, (-0.25004, -0.01415)"
rutina,sentiment__speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment__speech_timing__word_properties,rudas,ridge,,bca,"3.10269, (2.43589, 3.85549)","15.75308, (10.37961, 23.03686)","-0.06764, (-0.12258, -0.00492)"
rutina,sentiment__speech_timing__word_properties,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,sentiment__speech_timing__word_properties,ad8,elastic,,bca,"1.41130, (1.14746, 1.68894)","2.80081, (2.02725, 3.93353)","0.11626, (-0.09621, 0.31640)"
rutina,sentiment__speech_timing__word_properties,ad8,knnr,,bca,"1.53213, (1.29631, 1.88616)","3.31399, (2.37028, 5.10762)","-0.04566, (-0.14844, 0.05813)"
rutina,sentiment__speech_timing__word_properties,ad8,lasso,,bca,"1.34384, (1.11493, 1.62808)","2.54078, (1.81267, 3.71142)","0.19831, (0.04866, 0.39904)"
rutina,sentiment__speech_timing__word_properties,ad8,ridge,,bca,"1.48474, (1.25840, 1.75209)","2.93123, (2.19255, 4.09059)","0.07511, (-0.02110, 0.26860)"
rutina,sentiment__speech_timing__word_properties,ad8,svr,,bca,"1.47365, (1.19080, 1.87358)","3.53593, (2.38222, 5.49960)","-0.11569, (-0.33677, 0.02249)"
rutina,sentiment__word_properties,rudas,elastic,,bca,"3.06354, (2.41202, 3.81964)","15.39365, (10.09209, 22.93405)","-0.04328, (-0.08782, 0.01156)"
rutina,sentiment__word_properties,rudas,knnr,,bca,"3.21629, (2.56068, 3.94401)","16.13556, (10.80450, 23.23385)","-0.09357, (-0.18753, 0.02643)"
rutina,sentiment__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,sentiment__word_properties,rudas,ridge,,bca,"3.09533, (2.43309, 3.84338)","15.65986, (10.22301, 23.01642)","-0.06133, (-0.10764, -0.00490)"
rutina,sentiment__word_properties,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,sentiment__word_properties,ad8,elastic,,bca,"1.35540, (1.12395, 1.62446)","2.58209, (1.81193, 3.70701)","0.18528, (0.06721, 0.47334)"
rutina,sentiment__word_properties,ad8,knnr,,bca,"1.54777, (1.30620, 1.90299)","3.35247, (2.40318, 5.16763)","-0.05780, (-0.18292, 0.01957)"
rutina,sentiment__word_properties,ad8,lasso,,bca,"1.40909, (1.17011, 1.66811)","2.67361, (1.87698, 3.77425)","0.15640, (0.02945, 0.47084)"
rutina,sentiment__word_properties,ad8,ridge,,bca,"1.53378, (1.31840, 1.82610)","3.12100, (2.29986, 4.58638)","0.01523, (-0.02075, 0.11689)"
rutina,sentiment__word_properties,ad8,svr,,bca,"1.47365, (1.19080, 1.87358)","3.53593, (2.38222, 5.49960)","-0.11569, (-0.33677, 0.02249)"
rutina,speech_timing,rudas,elastic,,bca,"3.16661, (2.51086, 3.95881)","16.27441, (10.72853, 23.57896)","-0.10298, (-0.24294, -0.00632)"
rutina,speech_timing,rudas,knnr,,bca,"3.16081, (2.48778, 3.91205)","15.88046, (10.54071, 23.56655)","-0.07628, (-0.16989, 0.01594)"
rutina,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,speech_timing,rudas,ridge,,bca,"3.10413, (2.44882, 3.83848)","15.66885, (10.39519, 23.14596)","-0.06193, (-0.10908, -0.00625)"
rutina,speech_timing,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,speech_timing,ad8,elastic,,bca,"1.47921, (1.22217, 1.75103)","2.97956, (2.16703, 4.14271)","0.05986, (-0.09095, 0.24536)"
rutina,speech_timing,ad8,knnr,,bca,"1.54553, (1.32256, 1.87980)","3.25765, (2.36048, 4.86659)","-0.02788, (-0.14616, 0.06922)"
rutina,speech_timing,ad8,lasso,,bca,"1.53288, (1.26649, 1.80491)","3.12803, (2.25569, 4.33072)","0.01302, (-0.27568, 0.23592)"
rutina,speech_timing,ad8,ridge,,bca,"1.53551, (1.30961, 1.85499)","3.20688, (2.36019, 4.72450)","-0.01186, (-0.05716, 0.06822)"
rutina,speech_timing,ad8,svr,,bca,"1.44239, (1.14636, 1.86754)","3.55602, (2.31287, 5.63759)","-0.12203, (-0.37002, -0.01101)"
rutina,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,speech_timing__word_properties,rudas,knnr,,bca,"3.28012, (2.62515, 4.04756)","16.75585, (11.33414, 24.28828)","-0.13560, (-0.26101, -0.01786)"
rutina,speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina,speech_timing__word_properties,rudas,ridge,,bca,"3.09078, (2.43338, 3.83502)","15.66280, (10.36999, 23.13585)","-0.06152, (-0.10672, -0.00639)"
rutina,speech_timing__word_properties,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,speech_timing__word_properties,ad8,elastic,,bca,"1.41828, (1.17873, 1.67456)","2.72354, (1.99092, 3.83405)","0.14064, (0.01058, 0.33572)"
rutina,speech_timing__word_properties,ad8,knnr,,bca,"1.53243, (1.29467, 1.87872)","3.30691, (2.35999, 5.12466)","-0.04343, (-0.16536, 0.07535)"
rutina,speech_timing__word_properties,ad8,lasso,,bca,"1.40988, (1.13340, 1.69779)","2.86554, (2.03595, 4.08626)","0.09584, (-0.20197, 0.32007)"
rutina,speech_timing__word_properties,ad8,ridge,,bca,"1.47938, (1.25203, 1.74953)","2.91390, (2.17821, 4.04538)","0.08058, (-0.01919, 0.28118)"
rutina,speech_timing__word_properties,ad8,svr,,bca,"1.44239, (1.14636, 1.86754)","3.55602, (2.31287, 5.63759)","-0.12203, (-0.37002, -0.01101)"
rutina,verbosity,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
rutina,word_properties,rudas,elastic,,bca,"3.33812, (2.60016, 4.17538)","17.66476, (11.24041, 26.32816)","-0.19720, (-0.98501, -0.02030)"
rutina,word_properties,rudas,knnr,,bca,"3.09064, (2.44357, 3.86039)","15.60949, (10.35286, 23.78174)","-0.05791, (-0.11245, 0.01157)"
rutina,word_properties,rudas,lasso,,bca,"3.05773, (2.42784, 3.80700)","15.24687, (9.94179, 22.73838)","-0.03334, (-0.08477, 0.03358)"
rutina,word_properties,rudas,ridge,,bca,"3.05768, (2.43284, 3.83802)","15.28837, (9.94954, 22.76174)","-0.03615, (-0.10734, 0.07950)"
rutina,word_properties,rudas,svr,,bca,"3.08147, (2.42512, 3.82356)","15.62484, (10.37883, 23.52945)","-0.05895, (-0.11243, 0.03068)"
rutina,word_properties,ad8,elastic,,bca,"1.40301, (1.16434, 1.70091)","2.77882, (1.97031, 4.14147)","0.12320, (0.03528, 0.30366)"
rutina,word_properties,ad8,knnr,,bca,"1.48339, (1.23789, 1.83359)","3.20727, (2.22989, 4.93090)","-0.01199, (-0.10123, 0.07287)"
rutina,word_properties,ad8,lasso,,bca,"1.37255, (1.13048, 1.64294)","2.59395, (1.80282, 3.71244)","0.18153, (0.03896, 0.48899)"
rutina,word_properties,ad8,ridge,,bca,"1.48880, (1.21058, 1.78935)","3.14131, (2.21627, 4.44227)","0.00882, (-0.28338, 0.21432)"
rutina,word_properties,ad8,svr,,bca,"1.44239, (1.14636, 1.86754)","3.55602, (2.31287, 5.63759)","-0.12203, (-0.37002, -0.01101)"
rutina__video_retelling,sentiment,rudas,elastic,,bca,"3.35751, (2.59238, 4.53180)","21.32965, (12.34450, 48.22502)","-0.44559, (-1.21347, -0.05563)"
rutina__video_retelling,sentiment,rudas,knnr,,bca,"3.10871, (2.42396, 4.03112)","16.82104, (10.57416, 30.78783)","-0.14002, (-0.51867, 0.11761)"
rutina__video_retelling,sentiment,rudas,lasso,,bca,"3.39539, (2.55851, 4.69307)","23.56237, (12.39102, 59.93218)","-0.59691, (-1.79000, -0.06446)"
rutina__video_retelling,sentiment,rudas,ridge,,bca,"3.23963, (2.46457, 4.20678)","19.04409, (11.63525, 37.56335)","-0.29069, (-0.82255, -0.00122)"
rutina__video_retelling,sentiment,rudas,svr,,bca,"3.07843, (2.42617, 3.82720)","15.55915, (10.36415, 23.30109)","-0.05450, (-0.10358, 0.02478)"
rutina__video_retelling,sentiment__speech_timing,rudas,elastic,,bca,"3.08079, (2.42371, 3.81286)","15.61936, (10.21122, 23.47951)","-0.05858, (-0.10299, 0.00639)"
rutina__video_retelling,sentiment__speech_timing,rudas,knnr,,bca,"3.08876, (2.41043, 3.82497)","15.59454, (10.21033, 22.91965)","-0.05690, (-0.13658, 0.02827)"
rutina__video_retelling,sentiment__speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,sentiment__speech_timing,rudas,ridge,,bca,"3.12695, (2.42626, 3.85487)","16.05350, (10.47909, 24.44749)","-0.08800, (-0.15252, -0.00402)"
rutina__video_retelling,sentiment__speech_timing,rudas,svr,,bca,"3.07702, (2.42584, 3.82595)","15.55195, (10.34618, 23.29070)","-0.05401, (-0.10300, 0.02495)"
rutina__video_retelling,sentiment__speech_timing__word_properties,rudas,elastic,,bca,"3.08079, (2.42371, 3.81286)","15.61936, (10.21122, 23.47951)","-0.05858, (-0.10299, 0.00639)"
rutina__video_retelling,sentiment__speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,sentiment__speech_timing__word_properties,rudas,ridge,,bca,"3.12166, (2.41000, 3.83806)","15.96692, (10.44672, 24.16381)","-0.08214, (-0.14440, -0.00426)"
rutina__video_retelling,sentiment__word_properties,rudas,elastic,,bca,"3.05838, (2.40169, 3.79180)","15.35424, (10.07220, 23.20499)","-0.04061, (-0.08685, 0.03922)"
rutina__video_retelling,sentiment__word_properties,rudas,knnr,,bca,"3.02640, (2.33208, 3.77263)","15.29784, (10.17323, 24.01259)","-0.03679, (-0.15823, 0.13189)"
rutina__video_retelling,sentiment__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,sentiment__word_properties,rudas,ridge,,bca,"3.09268, (2.42316, 3.81810)","15.59350, (10.10832, 23.40896)","-0.05683, (-0.10876, 0.01521)"
rutina__video_retelling,sentiment__word_properties,rudas,svr,,bca,"3.07702, (2.42584, 3.82595)","15.55195, (10.34618, 23.29070)","-0.05401, (-0.10300, 0.02495)"
rutina__video_retelling,speech_timing,rudas,elastic,,bca,"3.07571, (2.41866, 3.82024)","15.46242, (10.24169, 23.10379)","-0.04794, (-0.08989, -0.00043)"
rutina__video_retelling,speech_timing,rudas,knnr,,bca,"3.06869, (2.40426, 3.85233)","15.58132, (10.11696, 22.75937)","-0.05600, (-0.13801, 0.02773)"
rutina__video_retelling,speech_timing,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,speech_timing,rudas,ridge,,bca,"3.08344, (2.42193, 3.81948)","15.47350, (10.23206, 23.06443)","-0.04870, (-0.09227, 0.00053)"
rutina__video_retelling,speech_timing,rudas,svr,,bca,"3.07702, (2.42584, 3.82595)","15.55195, (10.34618, 23.29070)","-0.05401, (-0.10300, 0.02495)"
rutina__video_retelling,speech_timing,ad8,elastic,,bca,"1.52008, (1.28567, 1.82306)","3.17154, (2.29546, 4.70867)","-0.00071, (-0.05036, 0.09135)"
rutina__video_retelling,speech_timing,ad8,knnr,,bca,"1.55804, (1.33341, 1.87463)","3.24834, (2.38769, 4.76611)","-0.02494, (-0.07647, 0.04277)"
rutina__video_retelling,speech_timing,ad8,lasso,,bca,"1.51011, (1.26967, 1.80635)","3.12937, (2.25675, 4.67635)","0.01259, (-0.04261, 0.14739)"
rutina__video_retelling,speech_timing,ad8,ridge,,bca,"1.53748, (1.30994, 1.85952)","3.23131, (2.33916, 4.75178)","-0.01957, (-0.04641, 0.02249)"
rutina__video_retelling,speech_timing,ad8,svr,,bca,"1.55483, (1.24445, 1.99499)","3.92294, (2.66302, 6.15531)","-0.23780, (-0.45360, -0.06823)"
rutina__video_retelling,speech_timing__word_properties,rudas,elastic,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,speech_timing__word_properties,rudas,knnr,,bca,"3.11199, (2.46037, 3.87011)","15.63619, (10.31098, 23.21912)","-0.05972, (-0.12641, 0.01995)"
rutina__video_retelling,speech_timing__word_properties,rudas,lasso,,bca,"3.07569, (2.41865, 3.82027)","15.46231, (10.24161, 23.10357)","-0.04794, (-0.08989, -0.00040)"
rutina__video_retelling,speech_timing__word_properties,rudas,ridge,,bca,"3.15040, (2.48581, 3.88700)","15.97812, (10.55090, 23.31346)","-0.08289, (-0.16409, -0.01383)"
rutina__video_retelling,speech_timing__word_properties,rudas,svr,,bca,"3.07702, (2.42584, 3.82595)","15.55195, (10.34618, 23.29070)","-0.05401, (-0.10300, 0.02495)"
rutina__video_retelling,speech_timing__word_properties,ad8,elastic,,bca,"1.51005, (1.28508, 1.81953)","3.09677, (2.25209, 4.65975)","0.02288, (-0.04758, 0.18932)"
rutina__video_retelling,speech_timing__word_properties,ad8,knnr,,bca,"1.54161, (1.30717, 1.86031)","3.27587, (2.37819, 4.87898)","-0.03363, (-0.09926, 0.04443)"
rutina__video_retelling,speech_timing__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
rutina__video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.52123, (1.29038, 1.83173)","3.16278, (2.28693, 4.71113)","0.00205, (-0.03600, 0.08067)"
rutina__video_retelling,speech_timing__word_properties,ad8,svr,,bca,"1.55483, (1.24445, 1.99499)","3.92294, (2.66302, 6.15531)","-0.23780, (-0.45360, -0.06823)"
rutina__video_retelling,word_properties,rudas,elastic,,bca,"3.17983, (2.48342, 3.89201)","15.89550, (10.71115, 22.96633)","-0.07730, (-0.21116, 0.01113)"
rutina__video_retelling,word_properties,rudas,knnr,,bca,"3.22282, (2.56720, 4.00938)","16.38024, (10.60328, 25.17631)","-0.11015, (-0.21332, 0.03728)"
rutina__video_retelling,word_properties,rudas,lasso,,bca,"3.56959, (2.80001, 4.46975)","20.43626, (13.61727, 30.45070)","-0.38504, (-1.27479, -0.09698)"
rutina__video_retelling,word_properties,rudas,ridge,,bca,"3.07028, (2.42235, 3.80333)","15.26507, (10.06838, 22.62381)","-0.03457, (-0.07765, 0.02562)"
rutina__video_retelling,word_properties,rudas,svr,,bca,"3.07702, (2.42584, 3.82595)","15.55195, (10.34618, 23.29070)","-0.05401, (-0.10300, 0.02495)"
rutina__video_retelling,word_properties,ad8,elastic,,bca,"1.46581, (1.23766, 1.74831)","2.93544, (2.08996, 4.33275)","0.07378, (-0.00001, 0.29548)"
rutina__video_retelling,word_properties,ad8,knnr,,bca,"1.48793, (1.22908, 1.82232)","3.23150, (2.21394, 4.93760)","-0.01963, (-0.14223, 0.09883)"
rutina__video_retelling,word_properties,ad8,lasso,,bca,"1.50036, (1.28017, 1.80588)","3.04538, (2.24945, 4.51981)","0.03909, (-0.01102, 0.12719)"
rutina__video_retelling,word_properties,ad8,ridge,,bca,"1.50922, (1.28657, 1.80578)","3.08033, (2.24637, 4.53444)","0.02807, (-0.01136, 0.11859)"
rutina__video_retelling,word_properties,ad8,svr,,bca,"1.50044, (1.20901, 1.96689)","3.76869, (2.54292, 6.06604)","-0.18913, (-0.39067, 0.04138)"
video_retelling,speech_timing,ad8,elastic,,bca,"1.54011, (1.31436, 1.86234)","3.23943, (2.34950, 4.76429)","-0.02213, (-0.04782, 0.01875)"
video_retelling,speech_timing,ad8,knnr,,bca,"1.51033, (1.20826, 1.94664)","3.83261, (2.55569, 6.15128)","-0.20930, (-0.45513, -0.02826)"
video_retelling,speech_timing,ad8,lasso,,bca,"1.55745, (1.32223, 1.88392)","3.31759, (2.43189, 4.85112)","-0.04680, (-0.14217, 0.00405)"
video_retelling,speech_timing,ad8,ridge,,bca,"1.53801, (1.31219, 1.85997)","3.23232, (2.33600, 4.75785)","-0.01989, (-0.04455, 0.01867)"
video_retelling,speech_timing,ad8,svr,,bca,"1.47903, (1.19188, 1.88914)","3.53637, (2.35754, 5.70590)","-0.11583, (-0.31676, -0.00957)"
video_retelling,speech_timing__word_properties,ad8,elastic,,bca,"1.53546, (1.30876, 1.85905)","3.22290, (2.33120, 4.76464)","-0.01692, (-0.03814, 0.01868)"
video_retelling,speech_timing__word_properties,ad8,knnr,,bca,"1.50447, (1.22395, 1.90163)","3.58335, (2.44785, 5.63696)","-0.13065, (-0.32489, 0.01338)"
video_retelling,speech_timing__word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
video_retelling,speech_timing__word_properties,ad8,ridge,,bca,"1.57745, (1.33407, 1.90851)","3.43165, (2.47778, 4.96115)","-0.08278, (-0.31295, -0.00331)"
video_retelling,speech_timing__word_properties,ad8,svr,,bca,"1.47903, (1.19188, 1.88914)","3.53637, (2.35754, 5.70590)","-0.11583, (-0.31676, -0.00957)"
video_retelling,word_properties,ad8,elastic,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
video_retelling,word_properties,ad8,knnr,,bca,"1.52504, (1.22460, 1.93867)","3.79914, (2.58038, 6.01998)","-0.19874, (-0.42399, -0.00604)"
video_retelling,word_properties,ad8,lasso,,bca,"1.53537, (1.30879, 1.85957)","3.22260, (2.33108, 4.76385)","-0.01682, (-0.03800, 0.01886)"
video_retelling,word_properties,ad8,ridge,,bca,"1.54079, (1.31504, 1.86196)","3.24219, (2.34420, 4.79199)","-0.02301, (-0.05139, 0.01568)"
video_retelling,word_properties,ad8,svr,,bca,"1.47903, (1.19188, 1.88914)","3.53637, (2.35754, 5.70590)","-0.11583, (-0.31676, -0.00957)"
